alphaRaw16-1,alphaRaw16-2,alphaRaw16-3,alphaRaw16-4,alphaRaw24-1,alphaRaw24-2,alphaRaw24-3,alphaRaw24-4,alphaGrad-1,alphaGrad-2,alphaGrad-3,alphaGrad-4,grad-x,grad-y,grad-z,grad-xz,grad-yz,grad-rx,grad-ry,grad-rz,gradsum-xy,gradsum-xz,gradsum-yz,gradratio-xy,gradratio-xz,gradratio-yz,gradstddev-x,gradstddev-y,gradstddev-z,xpeaks,ypeaks,avg,stddev,moment-2,moment-3,moment-4,class
0.298957,0.558495,0.142548,0,0.270246,0.546944,0.18281,0,1,0,0,0,0.045795,0.038227,0.013696,0.025261,0.022628,0.003638,0.006669,0,0.084022,0.059491,0.051923,1.197985,3.343606,2.791024,147.293484,154.663969,0.01385,2,5,0.943546,0.614973,1.268466,2.114044,3.999532,a2c
0.435997,0,0,0.564003,0.111164,0.033457,0,0.85538,0.523305,0,0.169544,0.307152,0.047556,0.048135,0.015249,0.030116,0.031208,-0.001431,0.006422,-0.000033,0.09569,0.062804,0.063383,0.987974,3.118648,3.156611,209.016603,271.226967,0.016288,1,5,0.809457,0.734312,1.194426,2.29346,5.026066,a2c
0.650465,0,0.349535,0,0.551342,0,0.447622,0.001036,0.280845,0.719155,0,0,0.056699,0.047952,0.017799,0.033354,0.029987,-0.001257,-0.001025,0.000018,0.104651,0.074499,0.065751,1.182417,3.185431,2.693999,169.495609,117.594038,0.017726,2,4,0.97091,0.78042,1.551713,3.360668,8.762171,a2c
0.323454,0.274612,0,0.401934,0.358578,0.357918,0,0.283504,0,1,0,0,0.064027,0.05047,0.013458,0.052653,0.034702,0.00122,0.001356,-0.000085,0.114496,0.077485,0.063928,1.268619,4.757412,3.750072,381.386386,173.769279,0.020674,5,4,0.702505,0.973652,1.441497,3.882415,12.105121,a2c
0.394169,0,0,0.605831,0.314229,0,0,0.685771,0.629708,0,0,0.370292,0.03648,0.028105,0.010881,0.019804,0.020177,0.000106,0.002818,-0.00002,0.064585,0.047361,0.038986,1.297997,3.352754,2.583022,114.773144,74.374941,0.0133,17,3,0.648774,0.550423,0.723868,0.941413,1.33606,a2c
0.354852,0,0,0.645148,0.681628,0,0,0.318372,1,0,0,0,0.046954,0.036919,0.015796,0.034917,0.031433,-0.002662,0.006794,-0.000017,0.083873,0.06275,0.052715,1.271795,2.972596,2.337323,146.027569,194.692437,0.01698,3,4,0.804561,0.658056,1.080351,1.816089,3.42983,a2c
0.837822,0.162178,0,0,0.851443,0.124114,0.024444,0,0,0.797688,0.073747,0.128565,0.056507,0.052911,0.02831,0.045884,0.046945,-0.004029,0.004636,-0.000035,0.109418,0.084817,0.081221,1.067976,1.996044,1.868998,187.956989,151.86467,0.026643,3,4,1.230095,0.710571,2.018036,4.095728,9.672741,a2c
0.110313,0.487459,0,0.402228,0.252293,0.183791,0,0.563916,0.592702,0,0.086815,0.320483,0.046105,0.045693,0.016607,0.033018,0.03174,-0.001105,-0.002598,0.000079,0.091799,0.062713,0.0623,1.009021,2.77624,2.751419,434.94776,304.618849,0.019055,3,7,0.777606,0.670364,1.054052,1.893874,4.076109,a2c
0,0.496228,0.503772,0,0,0.456129,0.543871,0,0,0.755766,0.169035,0.075199,0.055364,0.051451,0.018648,0.028367,0.027969,-0.000452,0.003064,-0.000006,0.106815,0.074012,0.070099,1.076067,2.968909,2.759037,169.150785,170.747755,0.017123,3,4,1.08333,0.581799,1.512088,2.484904,4.556983,a2c
0.656293,0,0.343707,0,0.630586,0,0.369414,0,0.314672,0,0.326771,0.358557,0.035852,0.03647,0.015731,0.031024,0.033064,0.001063,0.001697,-0.00002,0.072322,0.051584,0.052201,0.983069,2.279057,2.318308,66.752783,60.087409,0.014694,2,6,0.894805,0.574257,1.130443,1.718754,2.875201,a2c
